"course_id"	"course_name"	"subject_bucket"	"course_session_id"	"session_order"	"session_title"	"pdf_count"	"sample_pdf"	"question_count"	"active_question_count"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"939"	"6"	"Chapter 6: Operations on Algebraic Expressions"	"1"	"6_operations_on_algebraic_expressions.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"940"	"7"	"Chapter 7: Factorisation"	"1"	"7_factorisation.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"941"	"8"	"Chapter 8: Linear Equations"	"1"	"8_linear_equations.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"942"	"9"	"Chapter 9: Percentage"	"1"	"9_percentage.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"943"	"10"	"Chapter 10: Profit and Loss"	"1"	"10_profit_and_loss.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"944"	"11"	"Chapter 11: Compound Interest"	"1"	"11_compound_interest.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"945"	"12"	"Chapter 12: Direct and Inverse Proportions"	"1"	"12_direct_and_inverse_proportions.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"946"	"13"	"Chapter 13: Time and Work"	"1"	"13_time_and_work.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"947"	"14"	"Chapter 14: Polygons"	"1"	"14_polygons.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"948"	"15"	"Chapter 15: Quadrilaterals"	"1"	"15_quadrilaterals.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"949"	"16"	"Chapter 16: Parallelograms"	"1"	"16_parallelograms.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"950"	"17"	"Chapter 17: Construction of Quadrilaterals"	"1"	"17_construction_of_quadrilaterals.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"951"	"18"	"Chapter 18: Area of a Trapezium and a Polygon"	"1"	"18_area_of_a_trapezium_and_a_polygon.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"952"	"19"	"Chapter 19: Three-Dimensional Figures"	"1"	"19_three_dimensional_figures.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"953"	"20"	"Chapter 20: Volume and Surface Area of Solids"	"1"	"20_volume_and_surface_area_of_solids.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"954"	"21"	"Chapter 21: Data Handling"	"1"	"21_data_handling.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"955"	"22"	"Chapter 22: Introduction to Coordinate Geometry"	"1"	"22_introduction_to_coordinate_geometry.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"956"	"23"	"Chapter 23: Line Graphs and Linear Graphs"	"1"	"23_line_graphs_and_linear_graphs.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"957"	"24"	"Chapter 24: Pie Charts"	"1"	"24_pie_charts.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"958"	"25"	"Chapter 25: Probability"	"1"	"25_probability.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"959"	"26"	"Chapter 26: Activities"	"1"	"26_activities.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"1848"	"27"	"Miscellaneous Session"	"1"	"miscellaneous_session.pdf"	"0"	"0"
"66"	"ICSE Mathematics Grade 5 - Exam Prep"	"MATH"	"1131"	"1"	"Chapter 1: Roman Numerals"	"1"	"1_roman_numerals.pdf"	"0"	"0"
"66"	"ICSE Mathematics Grade 5 - Exam Prep"	"MATH"	"1132"	"2"	"Chapter 2: Large Numbers"	"1"	"2_large_numbers.pdf"	"0"	"0"
